cell_id,Dr. 123 Kid,Dr. Do Little,Dr. Scrubs
1000096,Type4,Type5,Type10
1000097,Type4,Type5,Type5
1000098,Type4,Type5,Type5
1000099,Type4,Type5,Type5
1000100,Type4,Type5,Type6
1000101,Type2,Type9,Type5
1000102,Type4,Type5,Type10
1000103,Type4,Type8,Type5
1000104,Type4,Type5,Type5
1000105,Type6,Type6,Type2
1000106,Type4,Type5,Type5
1000107,Type4,Type5,Type2
1000108,Type2,Type2,Type2
1000109,Type4,Type6,Type5
1000110,Type4,Type5,Type5
1000111,Type4,Type5,Type5
1000112,Type2,Type5,Type5
1000113,Type4,Type2,Type2
1000114,Type3,Type3,Type3
1000115,Type4,Type5,Type5
1000116,Type4,Type5,Type5
1000117,Type2,Type9,Type5
1000118,Type4,Type5,Type2
1000119,Type4,Type5,Type5
1000120,Type5,Type5,Type5
1000121,Type9,Type9,Type9
1000122,Type4,Type5,Type5
1000123,Type4,Type2,Type2
1000124,Type4,Type9,Type5
1000125,Type4,Type2,Type5
1000126,Type4,Type2,Type2
1000127,Type4,Type3,Type5
1000128,Type4,Type6,Type5
1000129,Type4,Type6,Type5
1000130,Type7,Type7,Type5
1000131,Type4,Type5,Type5
1000132,Type4,Type2,Type5
1000133,Type4,Type5,Type5
1000134,Type4,Type5,Type5
1000135,Type4,Type5,Type5
1000136,Type3,Type3,Type3
1000137,Type4,Type6,Type6
1000138,Type2,Type2,Type5
1000139,Type4,Type5,Type5
1000140,Type4,Type2,Type5
1000141,Type4,Type6,Type5
1000142,Type4,Type2,Type5
1000143,Type4,Type6,Type6
1000144,Type4,Type6,Type5
1000145,Type4,Type3,Type3
1000146,Type3,Type3,Type3
1000147,Type3,Type3,Type3
1000148,Type4,Type2,Type5
1000149,Type4,Type2,Type2
1000150,Type4,Type6,Type5
1000151,Type4,Type2,Type5
1000152,Type4,Type3,Type3
1000153,Type4,Type5,Type5
1000154,Type4,Type5,Type5
1000155,Type4,Type2,Type2
1000156,Type4,Type5,Type5
1000157,Type4,Type5,Type5
1000158,Type3,Type3,Type3
1000159,Type2,Type2,Type5
1000160,Type5,Type5,Type5
1000161,Type3,Type3,Type3
1000162,Type4,Type2,Type2
1000163,Type4,Type5,Type5
1000164,Type4,Type2,Type5
1000165,Type4,Type5,Type5
1000166,Type4,Type2,Type2
1000167,Type4,Type5,Type5
1000168,Type4,Type5,Type5
1000169,Type4,Type5,Type5
1000170,Type4,Type3,Type3
1000171,Type4,Type5,Type5
1000172,Type4,Type5,Type5
1000173,Type4,Type6,Type5
1000174,Type4,Type5,Type5
1000175,Type5,Type7,Type5
1000176,Type2,Type2,Type2
1000177,Type4,Type5,Type2
1000178,Type4,Type6,Type5
1000179,Type4,Type1,Type5
1000180,Type4,Type5,Type5
1000181,Type4,Type5,Type5
1000182,Type4,Type9,Type5
1000183,Type4,Type5,Type5
1000184,Type4,Type5,Type5
1000185,Type4,Type5,Type5
1000186,Type2,Type2,Type2
1000187,Type1,Type2,Type8
1000188,Type4,Type6,Type5
1000189,Type4,Type3,Type3
1000190,Type6,Type6,Type6
1000191,Type6,Type6,Type6
1000192,Type4,Type5,Type5
1000193,Type4,Type2,Type5
1000194,Type4,Type5,Type5
1000195,Type4,Type2,Type2
1000196,Type2,Type2,Type2
1000197,Type4,Type6,Type6
1000198,Type4,Type5,Type5
1000199,Type4,Type5,Type5
1000200,Type4,Type5,Type5
1000201,Type4,Type5,Type5
1000202,Type3,Type3,Type3
1000203,Type4,Type2,Type2
1000204,Type4,Type5,Type5
1000205,Type2,Type2,Type5
1000206,Type9,Type9,Type9
1000207,Type2,Type2,Type2
1000208,Type5,Type2,Type5
1000209,Type7,Type9,Type5
1000210,Type4,Type5,Type5
1000211,Type6,Type6,Type6
1000212,Type4,Type6,Type5
1000213,Type4,Type9,Type5
1000214,Type11,Type2,Type8
1000215,Type4,Type2,Type5
1000216,Type4,Type5,Type5
1000217,Type4,Type5,Type5
1000218,Type7,Type5,Type5
1000219,Type4,Type5,Type5
1000220,Type4,Type5,Type5
1000221,Type4,Type5,Type5
1000222,Type4,Type5,Type5
1000223,Type4,Type5,Type5
1000224,Type4,Type5,Type5
1000225,Type4,Type5,Type5
1000226,Type4,Type2,Type5
1000227,Type4,Type5,Type5
1000228,Type4,Type1,Type2
1000229,Type4,Type5,Type5
1000230,Type4,Type5,Type5
1000231,Type4,Type5,Type5
1000232,Type4,Type5,Type5
1000233,Type4,Type2,Type5
1000234,Type4,Type2,Type5
1000235,Type4,Type6,Type6
1000236,Type1,Type1,Type5
1000237,Type3,Type3,Type3
1000238,Type4,Type5,Type5
1000239,Type4,Type2,Type5
1000240,Type6,Type6,Type6
1000241,Type4,Type6,Type5
1000242,Type4,Type5,Type5
1000243,Type4,Type5,Type5
1000244,Type2,Type5,Type2
1000245,Type1,Type2,Type5
1000246,Type4,Type5,Type5
1000247,Type4,Type5,Type5
1000248,Type4,Type3,Type3
1000249,Type4,Type5,Type5
1000250,Type6,Type6,Type6
1000251,Type4,Type5,Type5
1000252,Type4,Type6,Type5
1000253,Type4,Type4,Type5
1000254,Type4,Type4,Type5
1000255,Type6,Type6,Type6
1000256,Type4,Type5,Type5
1000257,Type4,Type5,Type5
1000258,Type4,Type2,Type5
1000259,Type1,Type2,Type5
1000260,Type3,Type3,Type3
1000261,Type4,Type3,Type3
1000262,Type4,Type5,Type5
1000263,Type11,Type1,Type8
1000264,Type3,Type3,Type3
1000265,Type4,Type6,Type5
1000266,Type4,Type2,Type5
1000267,Type4,Type5,Type5
1000268,Type1,Type2,Type5
1000269,Type2,Type2,Type2
1000270,Type4,Type5,Type5
1000271,Type4,Type9,Type5
1000272,Type1,Type2,Type8
1000273,Type4,Type5,Type6
1000274,Type4,Type5,Type5
1000275,Type4,Type5,Type5
1000276,Type4,Type6,Type6
1000277,Type4,Type5,Type5
1000278,Type4,Type5,Type5
1000279,Type4,Type5,Type5
1000280,Type4,Type5,Type5
1000281,Type1,Type5,Type8
1000282,Type4,Type5,Type5
1000283,Type4,Type5,Type5
1000284,Type4,Type5,Type5
1000285,Type2,Type2,Type2
1000286,Type4,Type7,Type5
1000287,Type4,Type3,Type3
1000288,Type4,Type5,Type5
1000289,Type4,Type5,Type5
1000290,Type4,Type5,Type5
1000291,Type4,Type5,Type5
1000292,Type4,Type5,Type5
1000293,Type4,Type5,Type5
1000294,Type4,Type5,Type3
1000295,Type4,Type5,Type5
1000296,Type4,Type5,Type5
1000297,Type4,Type5,Type5
1000298,Type3,Type3,Type3
1000299,Type4,Type5,Type5
1000300,Type4,Type5,Type5
1000301,Type4,Type5,Type5
1000302,Type4,Type6,Type5
1000303,Type4,Type2,Type5
1000304,Type9,Type2,Type2
1000305,Type4,Type5,Type5
1000306,Type9,Type9,Type5
1000307,Type4,Type4,Type5
1000308,Type4,Type4,Type5
1000309,Type4,Type5,Type5
1000310,Type4,Type5,Type5
1000311,Type4,Type5,Type5
1000312,Type2,Type2,Type5
1000313,Type4,Type5,Type5
1000314,Type4,Type5,Type5
1000315,Type4,Type7,Type5
1000316,Type4,Type5,Type5
1000317,Type4,Type3,Type3
1000318,Type4,Type5,Type5
1000319,Type4,Type5,Type5
1000320,Type4,Type3,Type5
1000321,Type4,Type5,Type5
1000322,Type4,Type2,Type5
1000323,Type11,Type8,Type8
1000324,Type4,Type2,Type5
1000325,Type4,Type5,Type5
1000326,Type1,Type2,Type5
1000327,Type4,Type5,Type5
1000328,Type4,Type9,Type5
1000329,Type4,Type5,Type5
1000330,Type4,Type3,Type3
1000331,Type4,Type5,Type5
1000332,Type4,Type5,Type5
1000333,Type4,Type2,Type2
1000334,Type1,Type2,Type2
1000335,Type4,Type5,Type5
1000336,Type4,Type6,Type5
1000337,Type4,Type6,Type5
1000338,Type4,Type5,Type5
1000339,Type4,Type5,Type5
1000340,Type4,Type5,Type5
1000341,Type4,Type5,Type5
1000342,Type4,Type5,Type5
1000343,Type1,Type2,Type2
1000344,Type1,Type2,Type2
1000345,Type4,Type5,Type5
1000346,Type4,Type5,Type5
1000347,Type4,Type5,Type5
1000348,Type4,Type7,Type5
1000349,Type4,Type2,Type5
1000350,Type1,Type2,Type2
1000351,Type4,Type5,Type5
1000352,Type5,Type9,Type2
1000353,Type4,Type2,Type2
1000354,Type4,Type5,Type5
1000355,Type6,Type6,Type6
1000356,Type4,Type5,Type5
1000357,Type9,Type5,Type5
1000358,Type4,Type2,Type5
1000359,Type4,Type5,Type5
1000360,Type1,Type2,Type5
1000361,Type4,Type3,Type3
1000362,Type4,Type5,Type5
1000363,Type4,Type5,Type5
1000364,Type4,Type5,Type5
1000365,Type4,Type2,Type5
1000366,Type4,Type2,Type2
1000367,Type4,Type5,Type5
1000368,Type4,Type5,Type5
1000369,Type7,Type5,Type4
1000370,Type2,Type2,Type2
1000371,Type1,Type4,Type2
1000372,Type4,Type5,Type5
1000373,Type4,Type5,Type5
1000374,Type4,Type5,Type5
1000375,Type4,Type7,Type5
1000376,Type4,Type7,Type5
1000377,Type4,Type6,Type5
1000378,Type4,Type5,Type5
1000379,Type4,Type5,Type5
1000380,Type4,Type4,Type3
1000381,Type4,Type3,Type3
1000382,Type4,Type5,Type5
1000383,Type4,Type5,Type5
1000384,Type4,Type5,Type9
1000385,Type4,Type5,Type5
1000386,Type1,Type7,Type2
1000387,Type4,Type5,Type5
1000388,Type4,Type2,Type2
1000389,Type4,Type5,Type5
1000390,Type3,Type3,Type3
1000391,Type4,Type6,Type6
1000392,Type4,Type2,Type5
1000393,Type4,Type6,Type6
1000394,Type4,Type5,Type5
1000395,Type4,Type2,Type2
1000396,Type4,Type5,Type5
1000397,Type4,Type1,Type5
1000398,Type4,Type5,Type5
1000399,Type4,Type2,Type2
1000400,Type4,Type5,Type5
1000401,Type4,Type5,Type5
1000402,Type4,Type5,Type5
1000403,Type9,Type9,Type9
1000404,Type4,Type4,Type5
1000405,Type3,Type3,Type3
1000406,Type1,Type2,Type8
1000407,Type4,Type5,Type5
1000408,Type4,Type5,Type5
1000409,Type6,Type5,Type6
1000410,Type1,Type5,Type5
1000411,Type3,Type3,Type3
1000412,Type4,Type5,Type5
1000413,Type4,Type5,Type9
1000414,Type4,Type5,Type5
1000415,Type3,Type3,Type3
1000416,Type3,Type3,Type3
1000417,Type4,Type5,Type5
1000418,Type4,Type5,Type5
1000419,Type4,Type5,Type5
1000420,Type2,Type2,Type2
1000421,Type9,Type9,Type9
1000422,Type4,Type5,Type3
1000423,Type4,Type2,Type5
1000424,Type7,Type9,Type5
1000425,Type4,Type5,Type5
1000426,Type4,Type6,Type6
1000427,Type4,Type5,Type5
1000428,Type4,Type5,Type3
1000429,Type4,Type6,Type5
1000430,Type1,Type2,Type5
1000431,Type3,Type3,Type3
1000432,Type1,Type2,Type2
1000433,Type4,Type2,Type5
1000434,Type4,Type5,Type5
1000435,Type4,Type5,Type5
1000436,Type4,Type5,Type5
1000437,Type4,Type6,Type6
1000438,Type4,Type5,Type5
1000439,Type1,Type2,Type2
1000440,Type1,Type2,Type2
1000441,Type4,Type5,Type5
1000442,Type4,Type5,Type5
1000443,Type3,Type3,Type3
1000444,Type4,Type5,Type5
1000445,Type4,Type2,Type5
1000446,Type7,Type7,Type5
1000447,Type3,Type3,Type3
1000448,Type4,Type5,Type5
1000449,Type4,Type5,Type5
1000450,Type4,Type5,Type5
1000451,Type2,Type5,Type6
1000452,Type4,Type9,Type5
1000453,Type4,Type5,Type5
1000454,Type4,Type5,Type5
1000455,Type4,Type3,Type3
1000456,Type4,Type5,Type5
1000457,Type4,Type5,Type5
1000458,Type1,Type1,Type2
1000459,Type4,Type5,Type5
1000460,Type1,Type5,Type5
1000461,Type4,Type5,Type5
1000462,Type4,Type6,Type5
1000463,Type4,Type5,Type5
1000464,Type4,Type3,Type3
1000465,Type4,Type9,Type5
1000466,Type4,Type5,Type5
1000467,Type4,Type5,Type5
1000468,Type4,Type5,Type5
1000469,Type4,Type5,Type5
1000470,Type4,Type3,Type3
1000471,Type4,Type2,Type5
1000472,Type4,Type3,Type3
1000473,Type4,Type2,Type5
1000474,Type4,Type5,Type5
1000475,Type4,Type5,Type5
1000476,Type7,Type7,Type5
1000477,Type3,Type3,Type3
1000478,Type4,Type4,Type5
1000479,Type4,Type5,Type5
1000480,Type4,Type6,Type6
1000481,Type4,Type6,Type6
1000482,Type4,Type3,Type3
1000483,Type4,Type5,Type5
1000484,Type4,Type5,Type5
1000485,Type4,Type3,Type3
1000486,Type9,Type9,Type5
1000487,Type4,Type4,Type5
1000488,Type4,Type5,Type5
1000489,Type4,Type5,Type5
1000490,Type4,Type5,Type5
1000491,Type4,Type6,Type5
1000492,Type1,Type2,Type2
1000493,Type2,Type2,Type2
1000494,Type4,Type5,Type5
1000495,Type6,Type6,Type6
1000496,Type2,Type7,Type5
1000497,Type4,Type5,Type5
1000498,Type4,Type3,Type5
1000499,Type4,Type5,Type5
1000500,Type2,Type2,Type5
1000501,Type1,Type1,Type5
1000502,Type4,Type5,Type5
1000503,Type6,Type6,Type6
1000504,Type2,Type5,Type5
1000505,Type4,Type4,Type5
1000506,Type4,Type5,Type5
1000507,Type4,Type2,Type5
1000508,Type4,Type6,Type5
1000509,Type4,Type5,Type5
1000510,Type4,Type5,Type5
1000511,Type4,Type5,Type5
1000512,Type4,Type5,Type5
1000513,Type4,Type3,Type3
1000514,Type4,Type4,Type5
1000515,Type4,Type3,Type3
1000516,Type4,Type5,Type5
1000517,Type4,Type5,Type5
1000518,Type6,Type5,Type5
1000519,Type4,Type3,Type3
1000520,Type2,Type2,Type5
1000521,Type4,Type5,Type5
1000522,Type4,Type5,Type5
1000523,Type9,Type9,Type9
1000524,Type4,Type5,Type5
1000525,Type4,Type5,Type5
1000526,Type6,Type5,Type6
1000527,Type6,Type6,Type6
1000528,Type4,Type5,Type5
1000529,Type2,Type2,Type2
1000530,Type4,Type5,Type5
1000531,Type4,Type5,Type5
1000532,Type4,Type9,Type5
1000533,Type4,Type5,Type5
1000534,Type4,Type2,Type2
1000535,Type4,Type5,Type5
1000536,Type4,Type5,Type5
1000537,Type4,Type5,Type5
1000538,Type1,Type1,Type5
1000539,Type6,Type5,Type5
1000540,Type6,Type6,Type5
1000541,Type6,Type6,Type5
1000542,Type4,Type5,Type5
1000543,Type4,Type5,Type5
1000544,Type4,Type2,Type2
1000545,Type4,Type3,Type3
1000546,Type4,Type5,Type5
1000547,Type4,Type5,Type5
1000548,Type4,Type5,Type5
1000549,Type4,Type2,Type2
1000550,Type4,Type5,Type5
1000551,Type4,Type5,Type5
1000552,Type4,Type5,Type5
1000553,Type4,Type5,Type5
1000554,Type4,Type5,Type5
1000555,Type1,Type2,Type8
1000556,Type7,Type7,Type5
1000557,Type6,Type6,Type6
1000558,Type3,Type3,Type3
1000559,Type4,Type2,Type5
1000560,Type4,Type5,Type5
1000561,Type4,Type6,Type5
1000562,Type1,Type2,Type5
1000563,Type4,Type7,Type5
1000564,Type4,Type5,Type5
1000565,Type4,Type6,Type5
1000566,Type4,Type6,Type6
1000567,Type4,Type5,Type2
1000568,Type4,Type5,Type5
1000569,Type4,Type3,Type3
1000570,Type11,Type2,Type8
1000571,Type4,Type5,Type5
1000572,Type4,Type5,Type5
1000573,Type4,Type5,Type5
1000574,Type4,Type2,Type5
1000575,Type4,Type5,Type5
1000576,Type6,Type6,Type6
1000577,Type3,Type3,Type3
1000578,Type6,Type6,Type6
1000579,Type1,Type2,Type5
1000580,Type4,Type5,Type5
1000581,Type9,Type9,Type5
1000582,Type4,Type5,Type5
1000583,Type6,Type6,Type5
1000584,Type3,Type3,Type3
1000585,Type4,Type5,Type5
1000586,Type4,Type5,Type5
1000587,Type6,Type6,Type6
1000588,Type4,Type5,Type5
1000589,Type4,Type5,Type5
1000590,Type4,Type5,Type5
1000591,Type4,Type5,Type5
1000592,Type4,Type5,Type5
1000593,Type4,Type6,Type5
1000594,Type6,Type6,Type6
1000595,Type6,Type6,Type5
1000596,Type4,Type5,Type5
1000597,Type4,Type5,Type5
1000598,Type4,Type2,Type11
1000599,Type4,Type5,Type5
1000600,Type1,Type2,Type2
1000601,Type4,Type5,Type5
1000602,Type4,Type2,Type2
1000603,Type7,Type5,Type5
1000604,Type3,Type3,Type3
1000605,Type6,Type6,Type5
1000606,Type4,Type5,Type5
1000607,Type4,Type6,Type6
1000608,Type3,Type3,Type3
1000609,Type4,Type5,Type5
1000610,Type6,Type6,Type6
1000611,Type6,Type6,Type5
1000612,Type4,Type5,Type5
1000613,Type4,Type5,Type5
1000614,Type4,Type5,Type5
1000615,Type4,Type5,Type5
1000616,Type4,Type2,Type2
1000617,Type4,Type5,Type5
1000618,Type6,Type6,Type6
1000619,Type4,Type5,Type5
1000620,Type4,Type5,Type5
1000621,Type6,Type6,Type6
1000622,Type3,Type3,Type3
1000623,Type4,Type5,Type5
1000624,Type1,Type2,Type5
1000625,Type4,Type9,Type5
1000626,Type4,Type2,Type2
1000627,Type4,Type5,Type5
1000628,Type4,Type5,Type5
1000629,Type4,Type5,Type5
1000630,Type4,Type5,Type5
1000631,Type4,Type3,Type3
1000632,Type3,Type3,Type5
1000633,Type4,Type5,Type5
1000634,Type7,Type5,Type5
1000635,Type4,Type4,Type5
1000636,Type6,Type4,Type6
1000637,Type4,Type5,Type5
1000638,Type4,Type5,Type5
1000639,Type4,Type3,Type3
1000640,Type4,Type5,Type5
1000641,Type4,Type6,Type5
1000642,Type4,Type9,Type5
1000643,Type4,Type3,Type3
1000644,Type4,Type9,Type2
1000645,Type4,Type5,Type5
1000646,Type4,Type2,Type2
1000647,Type6,Type6,Type6
1000648,Type4,Type3,Type3
1000649,Type4,Type5,Type5
1000650,Type4,Type5,Type5
1000651,Type4,Type5,Type5
1000652,Type3,Type3,Type3
1000653,Type4,Type5,Type5
1000654,Type4,Type3,Type3
1000655,Type4,Type5,Type5
1000656,Type4,Type5,Type5
1000657,Type3,Type3,Type3
1000658,Type4,Type5,Type5
1000659,Type7,Type9,Type5
1000660,Type11,Type2,Type2
1000661,Type4,Type3,Type3
1000662,Type4,Type5,Type5
1000663,Type3,Type5,Type5
1000664,Type4,Type5,Type3
1000665,Type4,Type5,Type5
1000666,Type3,Type3,Type3
1000667,Type4,Type9,Type5
1000668,Type4,Type5,Type5
1000669,Type11,Type5,Type8
1000670,Type4,Type4,Type5
1000671,Type12,Type4,Type5
1000672,Type4,Type4,Type5
1000673,Type2,Type2,Type2
1000674,Type4,Type5,Type5
1000675,Type4,Type5,Type5
1000676,Type4,Type5,Type2
1000677,Type3,Type3,Type3
1000678,Type4,Type5,Type5
1000679,Type4,Type5,Type5
1000680,Type1,Type2,Type5
1000681,Type3,Type3,Type3
1000682,Type4,Type5,Type5
1000683,Type4,Type3,Type3
1000684,Type4,Type5,Type6
1000685,Type4,Type5,Type2
1000686,Type4,Type5,Type5
1000687,Type4,Type7,Type5
1000688,Type4,Type5,Type6
1000689,Type4,Type5,Type5
1000690,Type4,Type5,Type5
1000691,Type3,Type3,Type3
1000692,Type4,Type5,Type5
1000693,Type4,Type9,Type5
1000694,Type4,Type5,Type5
1000695,Type7,Type5,Type5
1000696,Type3,Type5,Type3
1000697,Type6,Type6,Type4
1000698,Type4,Type5,Type5
1000699,Type7,Type5,Type5
1000700,Type4,Type5,Type3
1000701,Type4,Type6,Type6
1000702,Type1,Type2,Type5
1000703,Type4,Type3,Type3
1000704,Type4,Type5,Type5
1000705,Type4,Type2,Type5
1000706,Type4,Type3,Type3
1000707,Type4,Type5,Type5
1000708,Type4,Type3,Type3
1000709,Type4,Type5,Type5
1000710,Type4,Type5,Type5
1000711,Type6,Type6,Type6
1000712,Type4,Type5,Type6
1000713,Type4,Type5,Type5
1000714,Type4,Type2,Type5
1000715,Type4,Type6,Type5
1000716,Type4,Type3,Type3
1000717,Type1,Type8,Type8
1000718,Type4,Type5,Type5
1000719,Type4,Type5,Type5
1000720,Type4,Type9,Type5
1000721,Type4,Type5,Type5
1000722,Type4,Type5,Type5
1000723,Type4,Type6,Type5
1000724,Type4,Type5,Type5
1000725,Type4,Type5,Type5
1000726,Type2,Type7,Type7
1000727,Type4,Type6,Type6
1000728,Type4,Type3,Type3
1000729,Type4,Type5,Type5
1000730,Type4,Type5,Type5
1000731,Type4,Type5,Type5
1000732,Type4,Type5,Type5
1000733,Type4,Type5,Type5
1000734,Type9,Type9,Type5
1000735,Type4,Type5,Type2
1000736,Type4,Type5,Type5
1000737,Type4,Type5,Type5
1000738,Type4,Type3,Type3
1000739,Type4,Type5,Type5
1000740,Type4,Type3,Type3
1000741,Type1,Type2,Type2
1000742,Type6,Type6,Type6
1000743,Type3,Type3,Type3
1000744,Type7,Type5,Type5
1000745,Type4,Type5,Type5
1000746,Type4,Type3,Type3
1000747,Type4,Type5,Type5
1000748,Type4,Type5,Type5
1000749,Type3,Type3,Type3
1000750,Type4,Type5,Type5
1000751,Type4,Type5,Type5
1000752,Type4,Type2,Type5
1000753,Type4,Type4,Type5
1000754,Type4,Type3,Type3
1000755,Type4,Type5,Type5
1000756,Type4,Type5,Type5
1000757,Type4,Type5,Type5
1000758,Type4,Type2,Type2
1000759,Type4,Type5,Type5
1000760,Type4,Type5,Type5
1000761,Type1,Type2,Type8
1000762,Type3,Type4,Type3
1000763,Type4,Type5,Type5
1000764,Type4,Type5,Type5
1000765,Type4,Type5,Type5
1000766,Type4,Type3,Type3
1000767,Type4,Type3,Type3
1000768,Type4,Type5,Type5
1000769,Type4,Type5,Type5
1000770,Type4,Type2,Type2
1000771,Type4,Type3,Type3
1000772,Type4,Type5,Type5
1000773,Type3,Type3,Type3
1000774,Type7,Type5,Type5
1000775,Type3,Type3,Type3
1000776,Type4,Type3,Type5
1000777,Type4,Type5,Type5
1000778,Type1,Type4,Type5
1000779,Type4,Type4,Type5
1000780,Type4,Type4,Type2
1000781,Type4,Type6,Type6
1000782,Type4,Type5,Type5
1000783,Type4,Type3,Type3
1000784,Type4,Type3,Type3
1000785,Type4,Type5,Type5
1000786,Type4,Type5,Type5
1000787,Type4,Type3,Type3
1000788,Type4,Type5,Type5
1000789,Type4,Type5,Type5
1000790,Type4,Type5,Type5
1000791,Type1,Type2,Type2
1000792,Type4,Type5,Type5
1000793,Type4,Type5,Type5
1000794,Type4,Type7,Type7
1000795,Type4,Type3,Type3
1000796,Type3,Type3,Type9
1000797,Type4,Type5,Type6
1000798,Type4,Type2,Type2
1000799,Type4,Type5,Type5
1000800,Type4,Type3,Type3
1000801,Type4,Type3,Type3
1000802,Type4,Type5,Type5
1000803,Type4,Type2,Type5
1000804,Type4,Type7,Type5
1000805,Type4,Type3,Type3
1000806,Type6,Type6,Type6
1000807,Type4,Type5,Type5
1000808,Type4,Type3,Type3
1000809,Type4,Type5,Type5
1000810,Type4,Type3,Type3
1000811,Type4,Type5,Type5
1000812,Type4,Type5,Type5
1000813,Type4,Type3,Type4
1000814,Type1,Type5,Type2
1000815,Type4,Type5,Type6
1000816,Type4,Type3,Type3
1000817,Type4,Type3,Type3
1000818,Type4,Type5,Type5
1000819,Type4,Type5,Type5
1000820,Type4,Type5,Type3
1000821,Type4,Type5,Type5
1000822,Type7,Type5,Type5
1000823,Type4,Type5,Type5
1000824,Type4,Type3,Type3
1000825,Type4,Type3,Type3
1000826,Type4,Type3,Type3
1000827,Type4,Type5,Type5
1000828,Type4,Type5,Type5
1000829,Type4,Type5,Type5
1000830,Type4,Type5,Type5
1000831,Type4,Type5,Type5
1000832,Type3,Type3,Type3
1000833,Type4,Type3,Type5
1000834,Type4,Type5,Type5
1000835,Type4,Type5,Type5
1000836,Type4,Type5,Type3
1000837,Type4,Type5,Type5
1000838,Type4,Type3,Type3
1000839,Type4,Type6,Type6
1000840,Type4,Type5,Type5
1000841,Type4,Type5,Type5
1000842,Type4,Type5,Type5
1000843,Type4,Type4,Type5
1000844,Type4,Type5,Type5
1000845,Type4,Type5,Type5
1000846,Type1,Type5,Type5
1000847,Type4,Type3,Type3
1000848,Type4,Type5,Type5
1000849,Type1,Type2,Type2
1000850,Type3,Type3,Type3
1000851,Type4,Type3,Type3
1000852,Type2,Type5,Type5
1000853,Type4,Type5,Type5
1000854,Type4,Type5,Type5
1000855,Type4,Type5,Type5
1000856,Type9,Type5,Type9
1000857,Type4,Type5,Type5
1000858,Type4,Type1,Type5
1000859,Type4,Type5,Type5
1000860,Type4,Type3,Type3
1000861,Type3,Type3,Type3
1000862,Type4,Type3,Type3
1000863,Type4,Type6,Type5
1000864,Type4,Type5,Type5
1000865,Type4,Type3,Type3
1000866,Type4,Type2,Type5
1000867,Type4,Type13,Type3
1000868,Type4,Type2,Type5
1000869,Type3,Type3,Type3
1000870,Type4,Type2,Type5
